Folder,FileName,CreateDate,LastAccessDateTime,ModifiedTime,Size,FileHash
C:\Source\repos\AdventureWorks2008R2,AdventureWorks2008R2.sln,Fri Nov 11 15:23:27 2022,Sat Feb 11 16:38:10 2023,Mon Nov 14 09:37:34 2022,1877,8517f9a1bfbc6df4e2286a105971a62a9bcb32d5
C:\Source\repos\AdventureWorks2008R2\.vs\AdventureWorks2008R2\FileContentIndex,214e37bf-d2d3-4f41-b0ec-b2ddc32dfc94.vsidx,Fri Nov 11 15:39:17 2022,Sat Feb 11 16:38:10 2023,Fri Nov 11 15:39:17 2022,210134,04addc628dc75e8a3123c59587b9c79bf1abed17
C:\Source\repos\AdventureWorks2008R2\.vs\AdventureWorks2008R2\FileContentIndex,8a2cab2d-2739-46f9-b732-59e8c14a079d.vsidx,Fri Nov 11 15:39:23 2022,Sat Feb 11 16:38:10 2023,Fri Nov 11 15:39:24 2022,22609,bbb5985d6bcc73039679e63d0dd7e12c12d54eec
C:\Source\repos\AdventureWorks2008R2\.vs\AdventureWorks2008R2\FileContentIndex,b4e2f79f-f4fc-4f77-8471-89d1641d9cad.vsidx,Fri Nov 11 15:39:17 2022,Sat Feb 11 16:38:10 2023,Fri Nov 11 15:39:17 2022,76167,4d53d6f31c9f89e131ec1a2a9c2b6a2277c7876c
C:\Source\repos\AdventureWorks2008R2\.vs\AdventureWorks2008R2\FileContentIndex,read.lock,Fri Nov 11 15:39:16 2022,Fri Nov 11 15:39:16 2022,Fri Nov 11 15:39:16 2022,0,da39a3ee5e6b4b0d3255bfef95601890afd80709
C:\Source\repos\AdventureWorks2008R2\.vs\AdventureWorks2008R2\v17,.suo,Fri Nov 11 15:23:51 2022,Sat Feb 11 16:38:10 2023,Mon Nov 14 09:38:40 2022,56320,b298a8f64831f2c5b68871e23298f7da48f58a45
C:\Source\repos\AdventureWorks2008R2\AdventureWorks2008R2,AdventureWorks2008R2.dbmdl,Fri Nov 11 15:23:45 2022,Sat Feb 11 16:38:10 2023,Mon Nov 14 09:38:40 2022,11297493,751f52e344a42a0fec47930ead45e3cb303b0917
C:\Source\repos\AdventureWorks2008R2\AdventureWorks2008R2,AdventureWorks2008R2.jfm,Fri Nov 11 16:12:57 2022,Sat Feb 11 16:38:10 2023,Mon Nov 14 09:38:40 2022,16384,8f96de27b377bd4fe6a3f4715de44cf8980d9a90
C:\Source\repos\AdventureWorks2008R2\AdventureWorks2008R2,AdventureWorks2008R2.sqlproj,Fri Nov 11 15:23:44 2022,Sat Feb 11 16:38:10 2023,Fri Nov 11 15:39:23 2022,12963,7524275bb89be7e7d350ebdd92440410b5a7965a
C:\Source\repos\AdventureWorks2008R2\AdventureWorks2008R2,AdventureWorks2008R2.sqlproj.user,Fri Nov 11 15:23:44 2022,Sat Feb 11 16:38:10 2023,Fri Nov 11 15:23:44 2022,147,a21104c6a70ad675e700c4678db0db9682f2b8f1
C:\Source\repos\AdventureWorks2008R2\AdventureWorks2008R2,ExtendedProperties.sql,Fri Nov 11 15:39:17 2022,Sat Feb 11 16:38:10 2023,Fri Nov 11 15:39:17 2022,195,14b12d27f44585ea912ecc84a83072d549ea1d86
C:\Source\repos\AdventureWorks2008R2\AdventureWorks2008R2,FullTextIndexes.sql,Fri Nov 11 15:39:15 2022,Sat Feb 11 16:38:10 2023,Fri Nov 11 15:39:15 2022,578,327ab389782914d3d9d259543d0588fbe21139d9
C:\Source\repos\AdventureWorks2008R2\AdventureWorks2008R2\Database Triggers,ddlDatabaseTriggerLog.sql,Fri Nov 11 15:39:15 2022,Sat Feb 11 16:38:10 2023,Fri Nov 11 15:39:17 2022,1541,aa4ad1f8fbccfcc2905a0905b6eb80c7fb2b1592
C:\Source\repos\AdventureWorks2008R2\AdventureWorks2008R2\dbo\Functions,ufnGetAccountingEndDate.sql,Fri Nov 11 15:39:15 2022,Sat Feb 11 16:38:10 2023,Fri Nov 11 15:39:16 2022,451,60fa2193f6058bacffc3a84e2ac31c6f634f427a
C:\Source\repos\AdventureWorks2008R2\AdventureWorks2008R2\dbo\Functions,ufnGetAccountingStartDate.sql,Fri Nov 11 15:39:15 2022,Sat Feb 11 16:38:10 2023,Fri Nov 11 15:39:16 2022,427,189436e737995e1a54926cb6ef1a28be8c197fed
C:\Source\repos\AdventureWorks2008R2\AdventureWorks2008R2\dbo\Functions,ufnGetContactInformation.sql,Fri Nov 11 15:39:15 2022,Sat Feb 11 16:38:10 2023,Fri Nov 11 15:39:16 2022,3533,e6be6165115b0b1951877c61981fe9eabb8c4502
C:\Source\repos\AdventureWorks2008R2\AdventureWorks2008R2\dbo\Functions,ufnGetDocumentStatusText.sql,Fri Nov 11 15:39:15 2022,Sat Feb 11 16:38:10 2023,Fri Nov 11 15:39:16 2022,1089,ef4d09bbedb9c14d7df64e7d6b2af905e54c849f
C:\Source\repos\AdventureWorks2008R2\AdventureWorks2008R2\dbo\Functions,ufnGetProductDealerPrice.sql,Fri Nov 11 15:39:15 2022,Sat Feb 11 16:38:10 2023,Fri Nov 11 15:39:16 2022,1777,751dfa9af18b21712c0a839af7dc14264aaaf9e7
C:\Source\repos\AdventureWorks2008R2\AdventureWorks2008R2\dbo\Functions,ufnGetProductListPrice.sql,Fri Nov 11 15:39:15 2022,Sat Feb 11 16:38:10 2023,Fri Nov 11 15:39:16 2022,1578,4f3c61613d27a3ddf6ddf780b8dd0b0dcad923cd
C:\Source\repos\AdventureWorks2008R2\AdventureWorks2008R2\dbo\Functions,ufnGetProductStandardCost.sql,Fri Nov 11 15:39:15 2022,Sat Feb 11 16:38:10 2023,Fri Nov 11 15:39:16 2022,1667,88b8de7fcf6e9c509126e1c84b5bbe1ede02a607
C:\Source\repos\AdventureWorks2008R2\AdventureWorks2008R2\dbo\Functions,ufnGetPurchaseOrderStatusText.sql,Fri Nov 11 15:39:15 2022,Sat Feb 11 16:38:10 2023,Fri Nov 11 15:39:16 2022,1144,6f5dc8111407587da8c4957f2c3938a077675121
C:\Source\repos\AdventureWorks2008R2\AdventureWorks2008R2\dbo\Functions,ufnGetSalesOrderStatusText.sql,Fri Nov 11 15:39:15 2022,Sat Feb 11 16:38:10 2023,Fri Nov 11 15:39:16 2022,1206,3ab8bea7e0643f13e8621ef874fe73cfedae63d5
C:\Source\repos\AdventureWorks2008R2\AdventureWorks2008R2\dbo\Functions,ufnGetStock.sql,Fri Nov 11 15:39:15 2022,Sat Feb 11 16:38:10 2023,Fri Nov 11 15:39:16 2022,1146,b37c55a980815db3de62ac88f55553437b10fb49
C:\Source\repos\AdventureWorks2008R2\AdventureWorks2008R2\dbo\Functions,ufnLeadingZeros.sql,Fri Nov 11 15:39:15 2022,Sat Feb 11 16:38:10 2023,Fri Nov 11 15:39:16 2022,923,d54458e9f03ed63b13cd565d3c67c5aacb365e3a
C:\Source\repos\AdventureWorks2008R2\AdventureWorks2008R2\dbo\Stored Procedures,uspGetBillOfMaterials.sql,Fri Nov 11 15:39:15 2022,Sat Feb 11 16:38:10 2023,Fri Nov 11 15:39:16 2022,3235,c409d56032c5e4762ff5725539aad941fe2c78ae
C:\Source\repos\AdventureWorks2008R2\AdventureWorks2008R2\dbo\Stored Procedures,uspGetEmployeeManagers.sql,Fri Nov 11 15:39:15 2022,Sat Feb 11 16:38:11 2023,Fri Nov 11 15:39:16 2022,2534,800735559b6d22c991cbf8f82cc75adc77b56e21
C:\Source\repos\AdventureWorks2008R2\AdventureWorks2008R2\dbo\Stored Procedures,uspGetManagerEmployees.sql,Fri Nov 11 15:39:15 2022,Sat Feb 11 16:38:11 2023,Fri Nov 11 15:39:16 2022,2504,fd9115c82159fdef0720374be858a1260b20a6bc
C:\Source\repos\AdventureWorks2008R2\AdventureWorks2008R2\dbo\Stored Procedures,uspGetWhereUsedProductID.sql,Fri Nov 11 15:39:15 2022,Sat Feb 11 16:38:11 2023,Fri Nov 11 15:39:16 2022,3174,8184c5f0b83a88765e8673ca0c6530a14c192522
C:\Source\repos\AdventureWorks2008R2\AdventureWorks2008R2\dbo\Stored Procedures,uspLogError.sql,Fri Nov 11 15:39:15 2022,Sat Feb 11 16:38:11 2023,Fri Nov 11 15:39:16 2022,2919,26eb5eeae79912cac47eccf9d44575fad0e6fca1
C:\Source\repos\AdventureWorks2008R2\AdventureWorks2008R2\dbo\Stored Procedures,uspPrintError.sql,Fri Nov 11 15:39:15 2022,Sat Feb 11 16:38:11 2023,Fri Nov 11 15:39:16 2022,1158,3bb7368d541c8344b5992d3dd9280cf95a5a9147
C:\Source\repos\AdventureWorks2008R2\AdventureWorks2008R2\dbo\Stored Procedures,uspSearchCandidateResumes.sql,Fri Nov 11 15:39:15 2022,Sat Feb 11 16:38:11 2023,Fri Nov 11 15:39:15 2022,2391,b9fd7469dfc3643daffb48dd9937bdca904c2799
C:\Source\repos\AdventureWorks2008R2\AdventureWorks2008R2\dbo\Tables,AWBuildVersion.sql,Fri Nov 11 15:39:15 2022,Sat Feb 11 16:38:11 2023,Fri Nov 11 15:39:16 2022,2447,39f185746ffa213a1c0d43d9a4f7459b67d2f9c8
C:\Source\repos\AdventureWorks2008R2\AdventureWorks2008R2\dbo\Tables,DatabaseLog.sql,Fri Nov 11 15:39:15 2022,Sat Feb 11 16:38:11 2023,Fri Nov 11 15:39:16 2022,3354,3a82fbf788a5a189144d8506d5eaff828bcc3fe1
C:\Source\repos\AdventureWorks2008R2\AdventureWorks2008R2\dbo\Tables,ErrorLog.sql,Fri Nov 11 15:39:15 2022,Sat Feb 11 16:38:11 2023,Fri Nov 11 15:39:16 2022,4139,59437b8962c4407c5fc567fe3db746ebeb99a2e1
C:\Source\repos\AdventureWorks2008R2\AdventureWorks2008R2\dbo\User Defined Types,AccountNumber.sql,Fri Nov 11 15:39:15 2022,Sat Feb 11 16:38:11 2023,Fri Nov 11 15:39:15 2022,70,5b5bc1d55e6cc21d2d9519c5b33bd3b22b107fb2
C:\Source\repos\AdventureWorks2008R2\AdventureWorks2008R2\dbo\User Defined Types,Flag.sql,Fri Nov 11 15:39:15 2022,Sat Feb 11 16:38:11 2023,Fri Nov 11 15:39:15 2022,55,de35915ad67c3a709ec950857d6528d2f6fd37ca
C:\Source\repos\AdventureWorks2008R2\AdventureWorks2008R2\dbo\User Defined Types,Name.sql,Fri Nov 11 15:39:15 2022,Sat Feb 11 16:38:11 2023,Fri Nov 11 15:39:15 2022,61,1178b9d9d07bbdcbd0f56b49d5b7916034121ace
C:\Source\repos\AdventureWorks2008R2\AdventureWorks2008R2\dbo\User Defined Types,NameStyle.sql,Fri Nov 11 15:39:15 2022,Sat Feb 11 16:38:11 2023,Fri Nov 11 15:39:15 2022,60,b613fadb6e793d783f7451dbffc81a2acea96262
C:\Source\repos\AdventureWorks2008R2\AdventureWorks2008R2\dbo\User Defined Types,OrderNumber.sql,Fri Nov 11 15:39:15 2022,Sat Feb 11 16:38:11 2023,Fri Nov 11 15:39:15 2022,68,7f99c32adb82952e35aa2b21179ce249b24906e5
C:\Source\repos\AdventureWorks2008R2\AdventureWorks2008R2\dbo\User Defined Types,Phone.sql,Fri Nov 11 15:39:15 2022,Sat Feb 11 16:38:11 2023,Fri Nov 11 15:39:15 2022,62,2bb81a254ab1212275719487273238451788fc10
C:\Source\repos\AdventureWorks2008R2\AdventureWorks2008R2\HumanResources\Stored Procedures,uspUpdateEmployeeHireInfo.sql,Fri Nov 11 15:39:15 2022,Sat Feb 11 16:38:11 2023,Fri Nov 11 15:39:17 2022,4175,2d6361b7c456d51ecede36386861e37cc6cbf3fa
C:\Source\repos\AdventureWorks2008R2\AdventureWorks2008R2\HumanResources\Stored Procedures,uspUpdateEmployeeLogin.sql,Fri Nov 11 15:39:15 2022,Sat Feb 11 16:38:11 2023,Fri Nov 11 15:39:17 2022,3280,a4707ba2a4a7531c24219a57a70766aee90aa85d
C:\Source\repos\AdventureWorks2008R2\AdventureWorks2008R2\HumanResources\Stored Procedures,uspUpdateEmployeePersonalInfo.sql,Fri Nov 11 15:39:15 2022,Sat Feb 11 16:38:11 2023,Fri Nov 11 15:39:17 2022,2916,2dd4e0900684e298c421f7deb69dfc627e28fdaa
C:\Source\repos\AdventureWorks2008R2\AdventureWorks2008R2\HumanResources\Tables,Department.sql,Fri Nov 11 15:39:15 2022,Sat Feb 11 16:38:11 2023,Fri Nov 11 15:39:17 2022,2792,be4a5501a5169db49dcd87e13f5488c4bcd5ad89
C:\Source\repos\AdventureWorks2008R2\AdventureWorks2008R2\HumanResources\Tables,Employee.sql,Fri Nov 11 15:39:15 2022,Sat Feb 11 16:38:11 2023,Fri Nov 11 15:39:17 2022,14632,9c9f668a6f9d8b96a4e18f4bbadad6dcdc28c7a9
